Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Observer(s) Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur (cm),Deuxième mesure de l’épaisseur (cm),Initiales de l’observateur
26,8,2001,39,37.4,41.4,"MY, JE, DS, PR"
26,8,2001,40,62.9,63.7,"MY, JE, DS, PR"
26,8,2001,41,60.6,60.2,"MY, JE, DS, PR"
26,8,2001,42,61.1,65.2,"MY, JE, DS, PR"
26,8,2001,43,55.6,53,"MY, JE, DS, PR"
26,8,2001,44,44,53.2,"MY, JE, DS, PR"
26,8,2001,45,36.2,48.4,"MY, JE, DS, PR"
26,8,2001,46,56.4,59.9,"MY, JE, DS, PR"
26,8,2001,47,64.8,66.2,"MY, JE, DS, PR"
26,8,2001,48,43.1,51.6,"MY, JE, DS, PR"
26,8,2001,49,59.6,60.9,"MY, JE, DS, PR"
26,8,2001,50,50.6,57.4,"MY, JE, DS, PR"
26,8,2001,51,53.6,55.4,"MY, JE, DS, PR"
26,8,2001,52,55.8,53.9,"MY, JE, DS, PR"
26,8,2001,53,48.9,50.4,"MY, JE, DS, PR"
26,8,2001,54,57.5,57.7,"MY, JE, DS, PR"
26,8,2001,55,59,57,"MY, JE, DS, PR"
26,8,2001,56,54.5,54,"MY, JE, DS, PR"
26,8,2001,57,49.8,52.5,"MY, JE, DS, PR"
26,8,2001,58,57.9,57.5,"MY, JE, DS, PR"
26,8,2001,59,59.7,58.7,"MY, JE, DS, PR"
26,8,2001,60,40.9,46.3,"MY, JE, DS, PR"
26,8,2001,61,52.1,57,"MY, JE, DS, PR"
26,8,2001,62,57.3,59.1,"MY, JE, DS, PR"
26,8,2001,63,57.5,60.4,"MY, JE, DS, PR"
26,8,2001,64,46.4,47.5,"MY, JE, DS, PR"
26,8,2001,65,67.5,63.9,"MY, JE, DS, PR"
26,8,2001,66,65.5,65.7,"MY, JE, DS, PR"
26,8,2001,67,62.9,59.3,"MY, JE, DS, PR"
26,8,2001,68,60.2,62,"MY, JE, DS, PR"
26,8,2001,69,55.2,57.9,"MY, JE, DS, PR"
26,8,2001,70,52.7,51.3,"MY, JE, DS, PR"
26,8,2001,71,57,57.2,"MY, JE, DS, PR"
26,8,2001,72,47.7,48.4,"MY, JE, DS, PR"
26,8,2001,73,65.9,66.4,"MY, JE, DS, PR"
26,8,2001,74,49.2,48.9,"MY, JE, DS, PR"
26,8,2001,75,44.7,42.7,"MY, JE, DS, PR"
26,8,2001,76,49.4,49,"MY, JE, DS, PR"
26,8,2001,77,61.9,56.8,"MY, JE, DS, PR"
26,8,2001,78,57.7,57.7,"MY, JE, DS, PR"
26,8,2001,79,34.9,35.2,"MY, JE, DS, PR"
26,8,2001,80,48.7,50,"MY, JE, DS, PR"
26,8,2001,81,55.7,58.4,"MY, JE, DS, PR"
26,8,2001,82,58.6,56.7,"MY, JE, DS, PR"
26,8,2001,83,62.7,65,"MY, JE, DS, PR"
26,8,2001,84,59.2,58.5,"MY, JE, DS, PR"
26,8,2001,85,67.6,66.9,"MY, JE, DS, PR"
26,8,2001,86,64.7,62,"MY, JE, DS, PR"
26,8,2001,87,59.6,56.7,"MY, JE, DS, PR"
26,8,2001,88,45.8,46.7,"MY, JE, DS, PR"
26,8,2001,89,48.1,45.9,"MY, JE, DS, PR"
26,8,2001,90,42,42.9,"MY, JE, DS, PR"
26,8,2001,91,66.1,64.2,"MY, JE, DS, PR"
26,8,2001,92,67.4,69.1,"MY, JE, DS, PR"
26,8,2001,93,67.9,69.8,"MY, JE, DS, PR"
26,8,2001,94,66.7,65,"MY, JE, DS, PR"
26,8,2001,95,69.8,70.2,"MY, JE, DS, PR"
