Day,Month,Year,Grid Cell Number,First Thickness Measurement (cm),Second Thickness Measurement (cm),Terrain,Observer Initials
Jour,Mois,Année,Numéro de cellule de grille,Première mesure de l’épaisseur,Deuxième mesure de l’épaisseur,Terrain,Initiales de l’observateur
4,8,2010,68,26,-99999,FG,"EP,  MBl"
4,8,2010,69,22,-99999,FG,"EP,  MBl"
4,8,2010,70,22,-99999,FG,"EP,  MBl"
4,8,2010,71,49,-99999,FG,"EP,  MBl"
4,8,2010,72,47,-99999,FG,"EP,  MBl"
4,8,2010,73,42,-99999,FG,"EP,  MBl"
4,8,2010,74,34,-99999,FG,"EP,  MBl"
4,8,2010,75,26,-99999,FG,"EP,  MBl"
4,8,2010,76,24.5,-99999,FG,"EP,  MBl"
4,8,2010,77,21,-99999,FG,"EP,  MBl"
4,8,2010,78,23.5,-99999,FG,"EP,  MBl"
4,8,2010,79,21,-99999,FG,"EP,  MBl"
4,8,2010,80,21.5,-99999,FG,"EP,  MBl"
4,8,2010,81,48,-99999,FG,"EP,  MBl"
4,8,2010,82,49,-99999,FG,"EP,  MBl"
4,8,2010,83,36,-99999,FG,"EP,  MBl"
4,8,2010,84,46,-99999,FG,"EP,  MBl"
4,8,2010,85,39.5,-99999,FG,"EP,  MBl"
4,8,2010,86,29,-99999,FG,"EP,  MBl"
4,8,2010,87,25,-99999,FG,"EP,  MBl"
4,8,2010,88,21.5,-99999,FG,"EP,  MBl"
4,8,2010,89,22.5,-99999,FG,"EP,  MBl"
4,8,2010,90,22,-99999,FG,"EP,  MBl"
4,8,2010,91,53,-99999,FG,"EP,  MBl"
4,8,2010,92,32,-99999,FG,"EP,  MBl"
4,8,2010,93,56.5,-99999,FG,"EP,  MBl"
4,8,2010,94,41.5,-99999,FG,"EP,  MBl"
4,8,2010,95,35,-99999,FG,"EP,  MBl"
4,8,2010,96,38,-99999,FG,"EP,  MBl"
4,8,2010,97,24,-99999,FG,"EP,  MBl"
4,8,2010,98,30,-99999,FG,"EP,  MBl"
4,8,2010,99,29,-99999,FG,"EP,  MBl"
4,8,2010,100,22,-99999,FG,"EP,  MBl"
6,8,2011,1,44.5,51.5,FG,"SC, DK"
6,8,2011,2,30,23,FG,"SC, DK"
